id	A-1_rpkm	A-2_rpkm	A-3_rpkm	B-1_rpkm	B-2_rpkm	B-3_rpkm	C-1_rpkm	C-2_rpkm	C-3_rpkm
Unigene0000283	8.1208	11.9842	8.6209	25.9231	16.17	16.9163	6.9172	8.2671	7.0728
Unigene0000284	7.2645	8.0752	9.4547	9.2726	7.9293	9.3651	5.5689	6.4833	6.551
Unigene0000285	0.1518	0.2456	0.0358	0.1262	0.9875	0.3429	0.3208	0.3395	0.2468
Unigene0000286	3.3124	2.4815	2.1886	1.9784	2.9314	2.3841	2.0037	3.3615	3.5146
Unigene0000287	1.8234	2.2466	2.3129	2.1489	1.425	2.1669	1.6793	1.8238	1.3291
Unigene0000288	174.4198	188.7503	184.5455	216.1862	184.709	218.75	176.5308	185.3244	169.342
Unigene0000289	14.3347	9.1057	8.119	3.1465	15.75	4.3518	9.9245	7.3038	12.1297
Unigene0000290	2.5673	1.9222	2.0136	2.2728	4.629	2.9911	0.984	1.1147	1.7533
Unigene0000291	26.1062	26.9328	25.8909	25.3766	20.9962	23.7714	25.5266	24.5421	27.1336
Unigene0000292	2.0563	1.5969	1.1642	4.0295	2.5595	2.7866	3.9101	4.3502	3.4386
Unigene0000293	45.4515	40.297	39.4981	14.475	15.1049	14.271	32.808	46.3254	41.5413
Unigene0000294	0.0336	0.1629	0.095	0.0478	0.0678	0.0682	1.1583	0.6928	0.4911
Unigene0000295	16.1039	17.3955	16.2751	19.8846	13.9903	20.0862	18.9087	18.0147	15.0804
Unigene0000296	0.8928	0.1444	0.1229	0.0353	1.8522	0.084	0.0699	0.0256	0
Unigene0000297	21.3506	27.3905	25.1678	30.0633	27.4203	30.9473	16.336	18.9309	21.6123
Unigene0000298	11.9435	18.5499	14.6889	22.1281	19.7147	21.5805	12.15	16.872	13.8326
Unigene0000299	17.2687	31.9099	30.9368	36.8102	34.4284	25.9235	6.5289	8.3517	4.1584
Unigene0000300	7.5303	8.1892	7.4632	7.451	6.6954	7.568	10.1047	8.4914	8.5894
Unigene0000301	9.0821	15.1133	10.6961	16.2919	23.1685	14.2322	6.7421	4.9938	5.7417
Unigene0000302	0	0	0	0	0	0	0	0	0
Unigene0000303	0	0.0593	0.0433	0	0	0	0	0	0
Unigene0000304	35.712	46.8967	48.3602	44.4512	35.0537	39.6486	35.0592	34.3011	41.7405
Unigene0000305	0	0	0	0	0	0	0	0.2865	0.3316
Unigene0000306	0.7287	0.3615	0.5042	0.4846	2.0373	0.79	0.4448	0.2172	0.2933
Unigene0000307	0.238	0.3036	0.3609	0.1502	0.215	0.0921	6.1964	6.4132	7.31
Unigene0000308	0	0	0	0	0	0	0	0	0
Unigene0000309	1.3555	0.3701	0.3298	0.1811	0.2565	0	0.0298	0.1749	0.1181
Unigene0000310	0.4584	0	0.0324	0	0.2776	0	0	0	0
Unigene0000311	0	0	0	0.0334	0.0157	0	3.7085	1.7147	1.6143
Unigene0000312	0.0519	0.0116	0.0311	6.5174	10.7757	8.0645	10.2387	6.7306	8.4987
Unigene0000313	0.0735	0.2855	0.1822	0.0524	0.5195	0.0498	0	0	0.3074
Unigene0000314	1.889	0.7224	1.4989	1.3461	1.9257	0.9697	0.8063	0.5317	0.8775
Unigene0000315	0.4875	0.5784	0.3834	0.3474	0.1093	0.0367	0.7248	0.9503	0.3774
Unigene0000316	0.1629	0.1581	0.0288	0.3193	0.0274	0.1656	0.1721	0.0841	0.1135
Unigene0000317	0.0732	0.071	0.1036	0.0782	0.1231	0	0	0	0.051
Unigene0000318	0.2093	0.6501	0.2962	0.0298	0.0282	0.4538	0.1769	0.4752	0.35
Unigene0000319	1.2314	0.8196	0.498	3.1088	5.0657	2.2409	0.8177	1.0892	1.0541
Unigene0000320	0.2017	0.0653	0	0.2396	0.0452	0.2278	0.0947	0.2082	0
Unigene0000321	14.7955	21.8055	19.3166	16.8497	11.7048	16.1363	11.7524	8.2966	9.6734
Unigene0000322	0	0	0	0.1315	1.8879	0.2001	0	0	0.0086
Unigene0000323	0	0	0.1324	0.1	0.346	0.0634	1.1854	1.6887	1.0425
Unigene0000324	2.6302	2.6704	3.0516	2.962	3.2551	2.8866	2.5387	2.6075	2.6438
Unigene0000325	0.7954	0.0922	0.1092	0.0508	0.9665	0.1046	0.0669	0.0123	0.091
Unigene0000326	35.11	41.0865	41.8047	49.7992	45.5334	42.1795	28.6184	33.7616	32.1977
Unigene0000327	0.5516	0.821	1.067	1.0219	1.237	1.0215	0.492	0.3795	0.7174
Unigene0000328	0.8141	1.2724	1.4355	2.2221	1.4111	1.7109	0.4373	0.4129	0.4038
Unigene0000329	0.3357	0.0815	0.3762	0.3987	1.0354	0.2654	0.0788	0	0.1365
Unigene0000330	10.4041	10.0092	12.2283	4.0379	4.7501	5.1613	7.262	8.2443	7.3786
Unigene0000331	4.8055	7.0835	6.676	8.3706	7.3647	5.8489	4.2619	5.5102	4.6504
Unigene0000332	37.4969	41.8991	41.3645	44.4112	36.4891	42.5176	26.3845	29.3145	25.4441
Unigene0000333	20.6515	24.5688	25.4017	47.4563	39.9719	47.2943	42.9117	44.4243	47.3505
Unigene0000334	1.8746	0.516	0.5346	0.3888	2.4849	0.5593	0.4926	0.4042	0.5556
Unigene0000335	0.0358	0.0782	0.0063	0.1021	0.0362	0.0425	27.3227	29.6386	16.3297
Unigene0000336	10.5899	11.6062	10.6861	13.3885	10.2051	11.99	5.9666	7.3327	10.4253
Unigene0000337	0.1552	0	0	0	0	0	0.0546	0	0.1081
Unigene0000338	0	0	0.115	0	0	0	0	0.2236	0.2265
Unigene0000339	2.5021	2.3718	2.7834	1.9764	2.3648	2.906	2.7079	2.5177	1.4238
Unigene0000340	4.832	3.2798	3.6756	2.3761	4.7451	3.0242	2.1873	1.8652	1.542
Unigene0000341	0.0815	0.376	0.2453	0.1307	0.1509	0.2072	0	0.021	0
Unigene0000342	6.9737	4.0635	4.8609	1.4198	2.6941	1.7136	3.3395	5.0416	6.1339
Unigene0000343	48.3575	47.487	55.5473	33.9915	27.4287	36.7348	30.526	35.445	37.938
Unigene0000344	0.0882	0.5997	0.2498	0.6289	0.0594	0.0598	0.2486	0.2732	0.246
Unigene0000345	1.0029	0.5727	0.1253	0	0	0.04	0.0416	0	0.2055
Unigene0000346	0.7371	0.5366	0.629	0.2085	0.248	0.0808	0.8626	0.8837	0.8308
Unigene0000347	23.9388	36.8552	35.1471	15.65	14.5828	15.3927	2.8808	3.2722	2.6684
Unigene0000348	0	0	0	0	0	0	0	0	0
Unigene0000349	0.0229	0.0222	0.0647	3.2923	2.4315	3.1771	0.5316	0.5901	0.4781
Unigene0000350	7.9397	2.2461	1.7736	1.18	6.8839	1.3625	1.4005	1.4495	1.401
Unigene0000351	5.5388	5.4801	5.2248	4.4355	5.3516	4.6718	2.3877	2.4766	2.1764
Unigene0000352	0	0.3591	0	0	0.1245	0	0	0	0.0644
Unigene0000353	0	0	0	0	0.0405	0.0408	1.356	1.3661	0.9223
Unigene0000354	29.7643	37.0207	36.4196	30.1515	25.7284	31.2342	28.4179	31.5631	32.5488
Unigene0000355	0	0.0882	0.193	0.1295	0	0	0.064	0	0.1267
Unigene0000356	0.1299	0	0	0.0463	1.3988	0.2201	0	0	0.0453
Unigene0000357	0.5454	0.6177	0.7077	3.3035	4.1589	2.4021	0.3201	0.6566	0.38
Unigene0000358	4.7839	4.6041	4.6878	3.0302	2.9711	4.1834	0.6335	1.6034	0.7977
Unigene0000359	0	0	0.039	0	0	0.1121	0	0	0
Unigene0000360	0.6106	0.1248	0.2729	0.458	0.865	0.3267	0.249	0.2653	0.2015
Unigene0000361	0.0751	0	0	0	0.0505	0.0509	0	0	0.0523
Unigene0000362	1.7663	0.187	0.2727	0.5607	6.828	0.7616	0.2149	0.232	0.179
Unigene0000363	0.1371	0.0665	0.194	0.4884	0.1845	0.0464	0.2414	0.4244	0.3821
Unigene0000364	0.9126	0.6275	0.296	1.3277	3.9655	1.6876	0.5222	0.6867	0.6624
Unigene0000365	2.2653	2.7968	3.3777	0.1097	0.0814	0.1416	0.0232	0.1929	0.2529
Unigene0000366	23.01	23.0859	25.3513	22.8386	22.2881	21.7415	18.2845	19.3229	21.1587
Unigene0000367	1.1459	1.0303	0.9771	1.265	2.5025	1.4001	0.2183	0.4071	0.2683
Unigene0000368	0.5396	0	0	0.0961	0.7261	0.0457	0.095	0.1392	0.094
Unigene0000369	27.7974	24.2243	23.7859	25.7155	32.5943	26.2548	17.6608	19.0302	18.1985
Unigene0000370	12.7177	18.3753	13.6394	20.8437	14.4149	18.0631	13.573	14.2853	13.9393
Unigene0000371	3.0901	1.0394	1.0237	0.328	2.0917	0.6173	0.1521	0.2229	0.4254
Unigene0000372	0.96	0.3629	0.3147	0.2736	1.0538	0.3081	0.2135	0.2294	0.2464
Unigene0000373	0.1326	0.159	0.0497	0.3002	0.2572	0.2379	0.1538	0.1047	0.1902
Unigene0000374	1.4948	1.444	1.7632	1.4099	1.8317	1.6098	1.3732	1.2743	1.3233
Unigene0000375	1.1623	0.1791	0.6137	0.1315	0.4593	0.0625	0	0	0.0514
Unigene0000376	0.3627	0.5633	0.4107	0.6719	0.732	0.5406	0.3065	0.6737	0.3538
Unigene0000377	0.7501	0.3427	0.1874	0.2515	0.95	0.4784	0.404	0.8196	0.7994
Unigene0000378	0	0	0	0.1776	0.5868	0.1126	0	0.0429	0.0579
Unigene0000379	18.6128	22.6821	21.3266	30.3082	28.2157	29.4136	16.697	15.8319	15.483
Unigene0000380	4.7283	5.2996	4.4848	0.3126	1.0167	0.8587	1.2359	2.6158	2.6492
Unigene0000381	0.2769	0	0.3919	0.0493	0.978	0	0.0975	0	0.0482
Unigene0000382	0	0	0.0169	0	0	0	1.4462	1.1828	1.2145
Unigene0000383	0.2502	0.5742	0.1932	0	0.0153	0.1079	0.0961	0.0939	0.1427
Unigene0000384	0.2796	0.0679	0	0.0996	0.2352	0.1421	0.0985	0.4328	0
Unigene0000385	0	0.1322	0.0964	0	0.0458	0.0461	0	0	0
Unigene0000386	19.7331	21.8936	20.0474	23.0408	21.1516	23.6047	12.4406	14.0936	11.8441
Unigene0000387	0	0.0594	0.3899	0	0.5766	0.3318	0.388	0.379	0.128
Unigene0000388	0.6922	0.1344	0.2449	0.3453	0.7917	0.1407	0.195	0.2857	0.1929
Unigene0000389	16.8045	18.4045	18.3555	15.3792	15.2896	16.1473	16.3434	18.5206	17.7007
Unigene0000390	0.946	0.3826	0.5021	0.7865	1.4144	0.3205	1.1844	1.0034	0.7141
Unigene0000391	0.3789	0.0736	0.0268	0.135	0.4589	0.154	0	0	0
Unigene0000392	14.0811	12.3859	12.9634	8.1184	12.2981	9.5454	7.8963	8.0426	8.9129
Unigene0000393	0.2284	0.1267	0.1386	0.5349	0.1757	0.3096	0.2758	0.0674	0.2729
Unigene0000394	2.3067	2.4427	1.9293	2.2913	1.552	1.2314	2.9045	2.5247	1.9482
Unigene0000395	6.472	6.6538	6.5585	8.6414	9.285	9.2759	6.5083	7.2343	6.1948
Unigene0000396	0	0.2769	0.2019	0.3049	0.1919	0.1933	0.0502	0.1472	0.0994
Unigene0000397	0.1426	0	0.1009	0	0.048	0.0966	0.3013	0.0736	0
Unigene0000398	15.3456	16.6978	17.2597	18.7458	18.0485	19.4526	11.6658	13.8413	11.9903
Unigene0000399	1.9473	0.2848	0.472	0.2851	3.1767	0.253	0.0751	0.1101	0.1115
Unigene0000400	0.209	0.0676	0.5177	0.1986	0.1406	0.2832	7.8385	3.0017	3.8956
Unigene0000401	0.0933	0.0906	0.1541	0.0665	0.272	0.0421	0.0876	0	0.13
Unigene0000402	7.6275	7.8117	8.0395	9.5408	8.3336	8.7718	9.0353	8.8583	8.0287
Unigene0000403	0.0486	0	0	0	0.7191	0.0987	0.1026	0.1003	0.2708
Unigene0000404	15.9102	12.7286	13.7668	12.8466	18.6762	15.6343	10.4263	11.4656	12.6973
Unigene0000405	0.0462	0.1347	0.0655	0	0	0	0	0	0
Unigene0000406	23.3811	24.797	26.1263	21.3775	18.9937	21.2393	20.0074	22.6858	20.8302
Unigene0000407	1.0896	0.4749	0.5193	2.3926	3.8973	2.3504	0.9709	0.7343	0.612
Unigene0000408	3.7783	3.7139	4.4201	7.4825	7.073	7.4582	2.4595	2.4723	2.4831
Unigene0000409	13.729	14.1039	12.4665	19.4037	21.8999	18.0278	10.0033	10.8492	12.0432
Unigene0000410	0.6918	0.5682	0.3013	0.2654	1.0741	0.2885	0.4497	0.3844	0.3337
Unigene0000411	23.1975	22.411	25.7107	19.4686	20.348	18.796	16.1589	18.4322	22.0937
Unigene0000412	6.1705	5.8603	3.6825	1.2122	1.7953	2.1922	6.0136	4.4058	3.7184
Unigene0000413	1.1584	0.1406	0.0652	0.1876	1.9307	0.2051	0.0834	0.1902	0.0459
Unigene0000414	7.5186	8.0133	7.3544	6.5976	5.6903	6.1857	6.4294	6.4143	5.2217
Unigene0000415	11.1949	7.3625	6.7742	6.8277	10.8813	7.0255	5.5842	5.5734	6.2922
Unigene0000416	0.1407	0.1366	0.0996	0.2006	0	0.0954	0.0496	0	0.0981
Unigene0000417	0.7354	0	0.2602	0.3144	1.138	0.0997	0.0518	0.1518	0.0512
Unigene0000418	0	0	0	0	0	0	0.1803	0.066	0.2675
Unigene0000419	0.059	0.1145	0.0835	0.0841	0.1191	0.1199	0.2078	0.1218	0.0822
Unigene0000420	0.2391	0.2653	0.0967	0	0.069	0.0231	0.4812	0.423	0.8569
Unigene0000421	43.9837	46.3656	44.4297	51.5278	51.6061	48.9906	35.7067	39.2535	38.5493
Unigene0000422	11.5705	11.5171	11.566	14.9062	17.615	13.6423	5.4786	4.3512	4.0309
Unigene0000423	12.7857	13.6951	12.4199	12.573	13.9827	12.418	6.1858	9.3227	6.8908
Unigene0000424	139.3043	128.718	141.9637	155.7392	139.9055	159.2054	120.8425	131.031	129.6026
Unigene0000425	0.2931	0.4268	0.2593	0	0.0493	0.2979	0.2065	0	0
Unigene0000426	0.0663	0.2316	0.1782	0.1983	0.2408	0.1167	0.196	0.2736	0.1108
Unigene0000427	19.3653	19.1229	18.2474	26.1628	23.7272	25.3108	17.3729	13.1311	13.1147
Unigene0000428	0.6246	0.1102	0.4019	0	0.191	0	0	0	0
Unigene0000429	0.5935	0.8187	0.4422	0.1113	0.2102	0.127	0.528	0.3868	0.6965
Unigene0000430	9.5277	6.8115	6.0596	5.7342	16.1561	5.5834	12.7856	10.4967	17.5383
Unigene0000431	53.85	65.101	60.5683	58.2552	47.7513	56.8025	46.2143	45.8865	45.1379
Unigene0000432	2.7362	3.1479	2.7971	0.7943	0.4091	0.2747	1.7129	2.0916	0.9179
Unigene0000433	35.5111	36.7486	34.5416	30.2302	31.9992	28.3153	22.6874	24.3437	23.5793
Unigene0000434	0	0	0.0307	1.9504	1.5931	2.2962	0.0306	0	0
Unigene0000435	0	0	0	0.0946	0.3127	0.135	0.0468	0	0
Unigene0000436	0.0662	0.257	0.7963	0.1415	0.2227	0	0.4661	0.0683	0.4612
Unigene0000437	0.0786	0	0.0278	0.028	0.2115	0.0266	0.0553	0.4461	0.8761
Unigene0000438	0.3898	0.1892	0.4138	1.25	1.7485	0.7924	0.4118	0.3352	0.3621
Unigene0000439	0.9928	0.0918	0	0.0674	1.495	0.032	0	0	0.0659
Unigene0000440	13.4984	12.4744	14.3139	22.0261	12.6014	21.065	36.67	29.6976	25.6561
Unigene0000441	0.7511	0.2916	0.2658	0.0535	0.8591	0.3562	0.3174	0.2325	0.1047
Unigene0000442	26.802	19.6313	19.6692	21.1044	37.5628	23.6564	20.9012	20.1493	28.9334
Unigene0000443	0.077	0.1495	0.4906	3.4027	4.7156	5.1142	0	0.0795	0.322
Unigene0000444	2.2146	0.6193	0.6256	9.7737	29.1015	9.5221	0.5006	0.5267	0.6096
Unigene0000445	12.4353	12.4195	11.774	13.3258	15.9788	13.6935	7.2449	8.399	8.4026
Unigene0000446	0	0	0	0.0582	0.1647	0	0	0	0
Unigene0000447	0.449	0.1453	0.6356	0.32	0.7553	0.0507	0.1054	0.2317	0.1564
Unigene0000448	0.2564	0.0498	0.0363	0.2923	0.7936	0.4517	0.2889	0.6351	0.8218
Unigene0000449	0	0.0252	0.0184	0	0.0349	0	0.0365	0	0.009
Unigene0000450	1.4629	0.4322	0.6302	1.4503	1.3694	1.6807	0.3136	0.1313	0.3988
Unigene0000451	1.3965	1.3782	0.7083	0.4312	0.5324	0.7254	0.5409	0.5284	0.4703
Unigene0000452	0.0582	0.113	0.0206	0.2695	0.3328	0.3745	0.2254	0.3002	0.3041
Unigene0000453	0.871	0.9582	0.6883	0.0103	0	0.0295	0.0613	0	0.0202
Unigene0000454	0	0	0	0.1854	1.2605	0.3879	0.0733	0.0537	0.1813
Unigene0000455	4.5886	0.7489	0.9289	0.8067	5.2579	0.9843	0.2258	0.3102	0.9005
Unigene0000456	0.7173	0.0366	0.187	0	0.4318	0	0	0	0
Unigene0000457	0.1231	0.1195	0	0.2632	0.2486	0.3755	0.0434	0.0635	0
Unigene0000458	0.6322	0.6751	0.0895	0.7208	1.4038	0.9425	0.7124	0.1957	0.0881
Unigene0000459	3.696	3.359	3.5635	3.0612	4.3825	3.1431	4.1347	4.5328	4.8967
Unigene0000460	0.9524	0.3962	0.5778	0.1293	1.068	0.2766	0.3194	0	0.3476
Unigene0000461	0	0	0	0.2045	0.3089	0.2722	0.1617	0.1185	0.04
Unigene0000462	30.4384	28.4624	29.6432	34.8414	30.7349	35.6287	35.4698	36.9547	36.4987
Unigene0000463	0.2514	0	0.1779	0	0.3383	0.1703	0.0885	0	0.0876
Unigene0000464	0	0	0	0.7722	1.193	0.7676	0	0	0
Unigene0000465	3.9712	3.9328	6.0469	2.3153	4.0484	3.8596	4.1529	3.6428	4.8073
Unigene0000466	2.5154	0.586	0.3204	1.434	6.6682	1.534	0.0709	0.1558	0.3505
Unigene0000467	0.2233	0.1393	0.1016	0.1364	0.5687	0.1945	0.0225	0.0494	0.2222
Unigene0000468	0.5883	0.1389	0.0788	0.1586	0.6098	0.097	1.8814	1.5425	1.7616
Unigene0000469	3.7484	3.0962	2.9835	5.2407	7.7779	5.3825	2.3108	2.8199	2.732
Unigene0000470	311.8517	346.1648	332.2404	455.4129	346.0918	419.8356	326.4738	327.4211	314.3731
Unigene0000471	16.0902	11.3011	10.7094	8.7227	14.5553	10.0388	10.5367	10.5312	11.5269
Unigene0000472	0	0	0	0.122	0.3455	0.116	0.0603	0.0442	0.1789
Unigene0000473	0.5906	0.3344	0.476	0.0351	0.0883	0.0889	1.3634	0.8973	0.8573
Unigene0000474	1.4301	0.1983	0.241	0	0.779	0.0461	0.048	0	0.2373
Unigene0000475	0.1183	0.1723	0	0.2529	0.1194	0.1603	0	0	0
Unigene0000476	0.4722	0	0	0.0481	0.3177	0	0	0	0
Unigene0000477	14.1355	11.2967	11.0811	8.5423	14.0908	9.2417	14.4039	12.1348	13.9236
Unigene0000478	49.2373	66.1497	60.8436	50.8528	38.831	50.5563	50.5413	56.1292	43.5098
Unigene0000479	168.9207	189.5601	181.2146	210.1391	162.0537	197.6912	165.6172	157.4291	157.5631
Unigene0000480	1.0944	0.9374	0.5923	0.6422	0.5198	0.349	0.3627	0.8636	0.4485
Unigene0000481	2.0295	1.1185	1.1943	0.6145	1.4856	0.5289	0.4817	0.4833	0.6268
Unigene0000482	0.4139	0.067	0.0977	0.0492	0.9748	0	0	0	0
Unigene0000483	0.8521	0.5908	0.4738	0.412	2.1908	1.3815	0.2572	0.9421	1.251
Unigene0000484	4.5193	2.1607	1.9095	0.8171	3.4037	1.0055	0.7126	0.8353	1.1279
Unigene0000485	2.2323	3.2765	2.3049	11.0427	12.8354	10.924	13.2684	12.4309	14.2163
Unigene0000486	0.5431	1.1949	1.3324	0.7998	0.6821	0.6624	0.561	0.411	0.0505
Unigene0000487	0.488	0.2842	0	0	1.7731	0	0.0687	0.1007	0.034
Unigene0000488	18.2301	18.3229	19.3528	12.8733	11.2435	14.291	18.3581	22.3142	18.5326
Unigene0000489	0	0	0.0487	0	0.0232	0	0	0	0
Unigene0000490	10.8476	11.8563	11.5581	12.2824	13.4116	12.284	6.441	6.4693	6.8441
Unigene0000491	0	0.1289	0.2349	0	0.1787	0.1799	0	0.6852	0.2313
Unigene0000492	3.0583	3.1564	3.8935	2.7054	2.8028	3.156	1.3741	1.6143	1.4696
Unigene0000493	36.1376	45.5489	40.6233	19.6364	22.9557	23.7741	11.9927	13.7563	9.8621
Unigene0000494	6.1094	7.216	7.0374	7.8393	7.8905	7.6133	5.1452	5.3568	4.8298
Unigene0000495	0.4316	0.2726	0.3312	0.1408	0.1504	0.1128	0.4321	0.4347	0.721
Unigene0000496	5.9528	2.8449	3.0698	1.086	3.8036	1.0856	1.2568	1.7072	2.6048
Unigene0000497	13.1893	12.9058	12.9659	10.1497	9.3599	10.2773	10.645	10.7198	11.2591
Unigene0000498	6.0137	6.0934	7.1895	6.1633	5.1907	6.2502	2.008	2.6703	2.7712
Unigene0000499	1.3204	0.497	0.4577	0.2112	0.7252	0.3834	0.2088	0.2225	0.6571
